part_id,system,description,qty,material,nominal_thickness_mm,label_text,status,notes
PF-PIVOT-DBLR-001R-R1,PF,Right local cradle pivot doubler/block,1,compensado naval,36,PF-PIVOT-DBLR-001R-R1 REAR ->,DESIGN_BASELINE,Mirror counterpart
PF-PIVOT-PLATE-001L-R1,PF,Left playfield cradle pivot cheek plate,1,A36-or-SAE1020-steel,6,PF-PIVOT-PLATE-001L-R1,DESIGN_BASELINE,140x80 mm; R6 corners; 4x M8 mount holes; short 15 mm journal interface
PF-PIVOT-PLATE-001R-R1,PF,Right playfield cradle pivot cheek plate,1,A36-or-SAE1020-steel,6,PF-PIVOT-PLATE-001R-R1,DESIGN_BASELINE,Mirror counterpart
PF-PIVOT-BACK-001L-R1,PF,Left cradle pivot backing/spreader plate,1,A36-or-SAE1020-steel,3,PF-PIVOT-BACK-001L-R1,DESIGN_BASELINE,90x65 mm; shares four M8 clamp bolts
PF-PIVOT-BACK-001R-R1,PF,Right cradle pivot backing/spreader plate,1,A36-or-SAE1020-steel,3,PF-PIVOT-BACK-001R-R1,DESIGN_BASELINE,Mirror counterpart
PF-PIVOT-JOURNAL-001L-R1,PF,Left short pivot journal/stub axle,1,SAE1045-steel,15,PF-PIVOT-JOURNAL-001L-R1,DESIGN,Candidate 65 mm projection; final length after actual bearing/side-stack measurement
PF-PIVOT-JOURNAL-001R-R1,PF,Right short pivot journal/stub axle,1,SAE1045-steel,15,PF-PIVOT-JOURNAL-001R-R1,DESIGN,Mirror counterpart
PF-PIVOT-BRG-BACK-001L-R1,PF,Left cabinet-side flange-bearing backing plate,1,A36-or-SAE1020-steel,3,PF-PIVOT-BRG-BACK-001L-R1,DESIGN,Provisional 120x70 envelope; hole pattern only after actual UCFL202 measurement
PF-PIVOT-BRG-BACK-001R-R1,PF,Right cabinet-side flange-bearing backing plate,1,A36-or-SAE1020-steel,3,PF-PIVOT-BRG-BACK-001R-R1,DESIGN,Mirror counterpart
PF-VESA-PLATE-001-R1,PF,Replaceable playfield VESA adapter plate,1,metal,TBD,PF-VESA-PLATE-001-R1,ADAPTER,Model-agnostic replaceable carrier; baseline accommodates 200x200 and 300x200 through adapter-specific holes
PF-SAFETY-STAY-001L-R1,PF,Left positive mechanical playfield safety stay,1,steel,TBD,PF-SAFETY-STAY-001L-R1,DESIGN,Positive captive lock required; exact slot/pin geometry after hardware selection
PF-SAFETY-STAY-001R-R1,PF,Right positive mechanical playfield safety stay,1,steel,TBD,PF-SAFETY-STAY-001R-R1,DESIGN,Mirror counterpart; independent of gas struts
PF-CLOSED-PAD-001L-R1,PF,Left closed-position structural landing pad assembly,1,metal-plus-elastomer,TBD,PF-CLOSED-PAD-001L-R1,DESIGN,Adjustable resilient support; TV chassis is not structural
PF-CLOSED-PAD-001R-R1,PF,Right closed-position structural landing pad assembly,1,metal-plus-elastomer,TBD,PF-CLOSED-PAD-001R-R1,DESIGN,Mirror counterpart
PF-CLOSED-LATCH-001L-R1,PF,Left positive closed-position latch/strike assembly,1,steel,TBD,PF-CLOSED-LATCH-001L-R1,DESIGN,Prevents cradle bounce under nudge/DOF; hardware selection pending
PF-CLOSED-LATCH-001R-R1,PF,Right positive closed-position latch/strike assembly,1,steel,TBD,PF-CLOSED-LATCH-001R-R1,DESIGN,Mirror counterpart
PF-HARNESS-GUIDE-001-R1,PF,Moving playfield display harness guide/strain-relief set,1,polymer-or-metal,TBD,PF-HARNESS-GUIDE-001-R1,DESIGN,300 mm loop and R50 dynamic bend target; fixed and moving anchors within 100 mm
PC-TRAY-001-R1,PC,PC drawer platform,1,compensado naval,18,PC-TRAY-001-R1 FRONT ->,DESIGN,Mounts open chassis adapter; proof test 25 kg
PC-ADAPTER-001-R1,PC,Replaceable open-ATX chassis adapter,1,plywood-or-metal,TBD,PC-ADAPTER-001-R1,ADAPTER,Initial ~440x265x128 chassis interface
IO-REAR-POWER-001-R1,IO,Rear AC fascia wood surround,1,plywood-or-hardwood-face,9,IO-REAR-POWER-001-R1,DESIGN,Vintage white engraving; not electrical enclosure
IO-REAR-SVC-001-R1,IO,Rear service-I/O fascia wood surround,1,plywood-or-hardwood-face,9,IO-REAR-SVC-001-R1,DESIGN,Vintage white engraving; replaceable connector carrier behind
HAR-PASS-PRIMARY-001-R1,HAR,Primary folding backbox cable-passport plate,1,metal-or-polymer,TBD,HAR-PASS-PRIMARY-001-R1,DESIGN,90x50 clear opening target with split compression insert
HAR-PASS-RESERVE-001-R1,HAR,Reserve backbox cable-passport blanking plate,1,metal-or-polymer,TBD,HAR-PASS-RESERVE-001-R1,DESIGN,60x40 clear opening target when activated; gasketed blank initially
