part_id,feature_id,feature_type,face,datum,x,y,diameter_or_width,depth,through,hardware_dependency,status,recipe,notes
CAB-FRONT-001-R1,CF-0022,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-004,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-FRONT-001-R1,CF-0023,POCKET,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-019,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-FRONT-001-R1,CF-0024,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-020,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-FRONT-001-R1,CF-0025,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-022,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-FRONT-001-R1,CF-0026,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-030,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-REAR-001-R3,CF-0027,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,576.000 x 18.000 x 596.900,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:RearPanelWithCPUHatchV24,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
CAB-REAR-001-R3,CF-0028,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,CAB-REAR-001-R3; XZ; inside face; up arrow,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
CAB-REAR-001-R3,CF-0029,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-003,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-REAR-001-R3,CF-0030,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-004,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-REAR-001-R3,CF-0031,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-015,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-REAR-001-R3,CF-0032,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-016,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-REAR-001-R3,CF-0033,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-017,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-REAR-001-R3,CF-0034,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-027,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-BOTTOM-001-R1,CF-0035,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,576.000 x 1284.100 x 18.000,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:CapturedBottomV20,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
CAB-BOTTOM-001-R1,CF-0036,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,CAB-BOTTOM-001-R1; XY; inside up; front arrow,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
CAB-BOTTOM-001-R1,CF-0037,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-026,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
CAB-XMEM-010-R1,CF-0038,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,576.000 x 18.000 x 80.000,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:LowCrossmember1V20,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
CAB-XMEM-010-R1,CF-0039,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,CAB-XMEM-010-R1; XZ; front arrow,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
CAB-XMEM-011-R1,CF-0040,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,576.000 x 18.000 x 80.000,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:LowCrossmember2V20,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
CAB-XMEM-011-R1,CF-0041,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,CAB-XMEM-011-R1; XZ; front arrow,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
CAB-XMEM-012-R1,CF-0042,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,576.000 x 18.000 x 80.000,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:LowCrossmember3V20,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
CAB-XMEM-012-R1,CF-0043,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,CAB-XMEM-012-R1; XZ; front arrow,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
CAB-REAR-SHELF-001-R1,CF-0044,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,564.000 x 180.975 x 18.000,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:RearShelfV14,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
CAB-REAR-SHELF-001-R1,CF-0045,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,CAB-REAR-SHELF-001-R1; XY; top; rear arrow,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
CAB-REAR-SHELF-001-R1,CF-0046,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-007,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
BB-FLOOR-001-R1,CF-0047,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,780.000 x 254.000 x 18.000,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:BackboxFloorV14,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
BB-FLOOR-001-R1,CF-0048,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,BB-FLOOR-001-R1; XY; inside face,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
BB-FLOOR-001-R1,CF-0049,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-006,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
BB-FLOOR-001-R1,CF-0050,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-007,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
BB-TOP-001-R1,CF-0051,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,780.000 x 254.000 x 18.000,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:BackboxTopV14,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
BB-TOP-001-R1,CF-0052,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,BB-TOP-001-R1; XY; inside face,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
BB-SIDE-001L-R1,CF-0053,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,18.000 x 254.000 x 723.900,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:BackboxLeftSideV14,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
BB-SIDE-001L-R1,CF-0054,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,BB-SIDE-001L-R1; YZ; inside face,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
BB-SIDE-001L-R1,CF-0055,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-006,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
BB-SIDE-001R-R1,CF-0056,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,18.000 x 254.000 x 723.900,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:BackboxRightSideV14,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
BB-SIDE-001R-R1,CF-0057,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,BB-SIDE-001R-R1; YZ; inside face,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
BB-SIDE-001R-R1,CF-0058,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-006,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
BB-REAR-FRAME-L-R1,CF-0059,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,130.000 x 18.000 x 723.900,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:BackboxRearFrameLeftV14,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
BB-REAR-FRAME-L-R1,CF-0060,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,BB-REAR-FRAME-L-R1; XZ; inside face,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
BB-REAR-FRAME-L-R1,CF-0061,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-029,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
BB-REAR-FRAME-R-R1,CF-0062,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,130.000 x 18.000 x 723.900,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:BackboxRearFrameRightV14,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
BB-REAR-FRAME-R-R1,CF-0063,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,BB-REAR-FRAME-R-R1; XZ; inside face,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
BB-REAR-FRAME-R-R1,CF-0064,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-029,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
BB-REAR-FRAME-B-R1,CF-0065,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,520.000 x 18.000 x 53.100,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:BackboxRearFrameBottomV14,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
BB-REAR-FRAME-B-R1,CF-0066,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,BB-REAR-FRAME-B-R1; XZ; inside face,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
BB-REAR-FRAME-B-R1,CF-0067,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-029,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
BB-REAR-FRAME-T-R1,CF-0068,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,520.000 x 18.000 x 210.800,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:BackboxRearFrameTopV14,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
BB-REAR-FRAME-T-R1,CF-0069,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,BB-REAR-FRAME-T-R1; XZ; inside face,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
BB-REAR-FRAME-T-R1,CF-0070,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-029,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
BB-DOOR-001-R1,CF-0071,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,520.000 x 15.000 x 460.000,t_door,true,,DEFINED_PARAMETRIC,detail_structure_v25:BackboxServiceDoorV14,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
BB-DOOR-001-R1,CF-0072,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,BB-DOOR-001-R1; XZ; inside face; up arrow,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
BB-DOOR-001-R1,CF-0073,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-029,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
WOOD-CRADLESIDERAILLEFT-R1,CF-0074,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,18.000 x 950.000 x 70.000,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:CradleSideRailLeftV18,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
WOOD-CRADLESIDERAILLEFT-R1,CF-0075,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,WOOD-CRADLESIDERAILLEFT-R1; playfield local YZ; front arrow,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
WOOD-CRADLESIDERAILLEFT-R1,CF-0076,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-010,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
WOOD-CRADLESIDERAILLEFT-R1,CF-0077,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-012,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
WOOD-CRADLESIDERAILRIGHT-R1,CF-0078,PROFILE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,18.000 x 950.000 x 70.000,t or laminated 2*t,true,,DEFINED_PARAMETRIC,detail_structure_v25:CradleSideRailRightV18,"Exact contour is saved detail solid, not bounding rectangle. Preview dimensions only; stock/tool/fit gate HF-001/002. Laminated 2*t records require two identified plies at nesting."
WOOD-CRADLESIDERAILRIGHT-R1,CF-0079,ENGRAVING,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,safe_interior_label_zone.x,safe_interior_label_zone.y,,shop_confirmed_shallow_mark,false,,DEFINED_PARAMETRIC,WOOD-CRADLESIDERAILRIGHT-R1; playfield local YZ; front arrow,Place clear of pockets/hardware zones at CAM; no final marking coordinates until nested orientation is fixed
WOOD-CRADLESIDERAILRIGHT-R1,CF-0080,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-010,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
WOOD-CRADLESIDERAILRIGHT-R1,CF-0081,THROUGH_HOLE,see part orientation,part-local lower-left on indicated machining face; CAD global axes retained in recipe,,,,,false,HF-012,BLOCKED_MEASURE_HARDWARE,,"Pattern group, not one physical hole. Coordinates/diameter/depth intentionally blank. No builder transfer drilling. See measurement pack."
