joint_id,part_a,part_b,object_a,object_b,joint_type,stock_dependency,depth,glue,fastener_requirement,cnc_prelocation,hardware_dependency,baseline_overlap_mm3,notes
J-011,CAB-SIDE-001L-R1,PF-SAFETY-STAY-ANCHOR-DBLR-L-R1,CabinetLeftSide,SafetyStayDoublerLeftV19,FACE_LAMINATION,t=measured main sheet; t_door=measured door sheet,0,YES,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-010,0.000,Clamp full face; CNC alignment outline; through-bolts/backing carry concentrated loads
J-012,CAB-SIDE-001L-R1,PF-GAS-ANCHOR-DBLR-L-R1,CabinetLeftSide,GasStrutDoublerLeftV19,FACE_LAMINATION,t=measured main sheet; t_door=measured door sheet,0,YES,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-011,0.000,Clamp full face; CNC alignment outline; through-bolts/backing carry concentrated loads
J-013,CAB-SIDE-001R-R1,CAB-FRONT-001-R1,CabinetRightSide,CapturedFrontPanelV20,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,43205.400,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-014,CAB-SIDE-001R-R1,CAB-REAR-001-R3,CabinetRightSide,RearPanelWithCPUHatchV24,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,64465.200,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-015,CAB-SIDE-001R-R1,CAB-BOTTOM-001-R1,CabinetRightSide,CapturedBottomV20,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,138682.800,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-016,CAB-SIDE-001R-R1,CAB-XMEM-010-R1,CabinetRightSide,LowCrossmember1V20,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,8640.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-017,CAB-SIDE-001R-R1,CAB-XMEM-011-R1,CabinetRightSide,LowCrossmember2V20,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,8640.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-018,CAB-SIDE-001R-R1,CAB-XMEM-012-R1,CabinetRightSide,LowCrossmember3V20,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,8640.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-019,CAB-SIDE-001R-R1,CAB-REAR-SHELF-001-R1,CabinetRightSide,RearShelfV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,0.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-020,CAB-SIDE-001R-R1,BB-FLOOR-001-R1,CabinetRightSide,BackboxFloorV14,INCIDENTAL_CONTACT,t=measured main sheet; t_door=measured door sheet,none,none,none,not applicable,none,0.000,"Clearance/interface contact; backbox retention uses hinge and locks, not glue to shell"
J-021,CAB-SIDE-001R-R1,BB-REAR-FRAME-R-R1,CabinetRightSide,BackboxRearFrameRightV14,INCIDENTAL_CONTACT,t=measured main sheet; t_door=measured door sheet,none,none,none,not applicable,none,0.000,"Clearance/interface contact; backbox retention uses hinge and locks, not glue to shell"
J-022,CAB-SIDE-001R-R1,PF-LANDING-LATCH-RIGHT-R2,CabinetRightSide,ClosedSupportDoublerRightV19,FACE_LAMINATION,t=measured main sheet; t_door=measured door sheet,0,YES,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-012,0.000,Clamp full face; CNC alignment outline; through-bolts/backing carry concentrated loads
J-023,CAB-SIDE-001R-R1,PF-SAFETY-STAY-ANCHOR-DBLR-R-R1,CabinetRightSide,SafetyStayDoublerRightV19,FACE_LAMINATION,t=measured main sheet; t_door=measured door sheet,0,YES,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-010,0.000,Clamp full face; CNC alignment outline; through-bolts/backing carry concentrated loads
J-024,CAB-SIDE-001R-R1,PF-GAS-ANCHOR-DBLR-R-R1,CabinetRightSide,GasStrutDoublerRightV19,FACE_LAMINATION,t=measured main sheet; t_door=measured door sheet,0,YES,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-011,0.000,Clamp full face; CNC alignment outline; through-bolts/backing carry concentrated loads
J-025,CAB-FRONT-001-R1,CAB-BOTTOM-001-R1,CapturedFrontPanelV20,CapturedBottomV20,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,62208.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-026,CAB-REAR-001-R3,CAB-BOTTOM-001-R1,RearPanelWithCPUHatchV24,CapturedBottomV20,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,62208.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-027,CAB-REAR-001-R3,CAB-REAR-SHELF-001-R1,RearPanelWithCPUHatchV24,RearShelfV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,182736.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-028,CAB-REAR-001-R3,BB-FLOOR-001-R1,RearPanelWithCPUHatchV24,BackboxFloorV14,REMOVABLE_BEARING,t=measured main sheet; t_door=measured door sheet,none,NO,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-006;HF-007,0.000,Backbox floor bears on shelf; positive upright locks and hinge carry retention
J-029,CAB-REAR-001-R3,BB-REAR-FRAME-L-R1,RearPanelWithCPUHatchV24,BackboxRearFrameLeftV14,INCIDENTAL_CONTACT,t=measured main sheet; t_door=measured door sheet,none,none,none,not applicable,none,0.000,"Clearance/interface contact; backbox retention uses hinge and locks, not glue to shell"
J-030,CAB-REAR-001-R3,BB-REAR-FRAME-R-R1,RearPanelWithCPUHatchV24,BackboxRearFrameRightV14,INCIDENTAL_CONTACT,t=measured main sheet; t_door=measured door sheet,none,none,none,not applicable,none,0.000,"Clearance/interface contact; backbox retention uses hinge and locks, not glue to shell"
J-031,CAB-REAR-001-R3,BB-REAR-FRAME-B-R1,RearPanelWithCPUHatchV24,BackboxRearFrameBottomV14,INCIDENTAL_CONTACT,t=measured main sheet; t_door=measured door sheet,none,none,none,not applicable,none,0.000,"Clearance/interface contact; backbox retention uses hinge and locks, not glue to shell"
J-032,CAB-REAR-001-R3,CAB-PC-REAR-DOOR-002-R1,RearPanelWithCPUHatchV24,RearCPUServiceDoorClosedV24,REMOVABLE_CLOSURE,t=measured main sheet; t_door=measured door sheet,none,NO,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-015;HF-016,0.000,No glue; hinge/catch CNC patterns require measured closure hardware
J-033,CAB-BOTTOM-001-R1,CAB-XMEM-010-R1,CapturedBottomV20,LowCrossmember1V20,SEATED_BUTT,t=measured main sheet; t_door=measured door sheet,0,YES,DESIGN_LOCATABLE,YES design datum,none,0.000,Crossmember end dados locate member; full bottom bearing; glue and clamp; no extra blocking
J-034,CAB-BOTTOM-001-R1,CAB-XMEM-011-R1,CapturedBottomV20,LowCrossmember2V20,SEATED_BUTT,t=measured main sheet; t_door=measured door sheet,0,YES,DESIGN_LOCATABLE,YES design datum,none,0.000,Crossmember end dados locate member; full bottom bearing; glue and clamp; no extra blocking
J-035,CAB-BOTTOM-001-R1,CAB-XMEM-012-R1,CapturedBottomV20,LowCrossmember3V20,SEATED_BUTT,t=measured main sheet; t_door=measured door sheet,0,YES,DESIGN_LOCATABLE,YES design datum,none,0.000,Crossmember end dados locate member; full bottom bearing; glue and clamp; no extra blocking
J-036,CAB-BOTTOM-001-R1,PC-SUPPORT-LEFT-R2,CapturedBottomV20,RearCPUSupportRailLeftV24,BOTTOM_BEARING_CLAMP,t=measured main sheet; t_door=measured door sheet,none,NO,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-026,0.000,Bottom compression; four angle/backing assemblies resist uplift; rail cannot rely on end-grain screws
J-037,CAB-BOTTOM-001-R1,PC-SUPPORT-RIGHT-R2,CapturedBottomV20,RearCPUSupportRailRightV24,BOTTOM_BEARING_CLAMP,t=measured main sheet; t_door=measured door sheet,none,NO,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-026,0.000,Bottom compression; four angle/backing assemblies resist uplift; rail cannot rely on end-grain screws
J-038,CAB-REAR-SHELF-001-R1,BB-FLOOR-001-R1,RearShelfV14,BackboxFloorV14,REMOVABLE_BEARING,t=measured main sheet; t_door=measured door sheet,none,NO,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-006;HF-007,0.000,Backbox floor bears on shelf; positive upright locks and hinge carry retention
J-039,CAB-REAR-SHELF-001-R1,BB-REAR-FRAME-L-R1,RearShelfV14,BackboxRearFrameLeftV14,INCIDENTAL_CONTACT,t=measured main sheet; t_door=measured door sheet,none,none,none,not applicable,none,0.000,"Clearance/interface contact; backbox retention uses hinge and locks, not glue to shell"
J-040,CAB-REAR-SHELF-001-R1,BB-REAR-FRAME-R-R1,RearShelfV14,BackboxRearFrameRightV14,INCIDENTAL_CONTACT,t=measured main sheet; t_door=measured door sheet,none,none,none,not applicable,none,0.000,"Clearance/interface contact; backbox retention uses hinge and locks, not glue to shell"
J-041,CAB-REAR-SHELF-001-R1,BB-REAR-FRAME-B-R1,RearShelfV14,BackboxRearFrameBottomV14,INCIDENTAL_CONTACT,t=measured main sheet; t_door=measured door sheet,none,none,none,not applicable,none,0.000,"Clearance/interface contact; backbox retention uses hinge and locks, not glue to shell"
J-042,BB-FLOOR-001-R1,BB-SIDE-001L-R1,BackboxFloorV14,BackboxLeftSideV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,82296.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-043,BB-FLOOR-001-R1,BB-SIDE-001R-R1,BackboxFloorV14,BackboxRightSideV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,82296.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-044,BB-FLOOR-001-R1,BB-REAR-FRAME-L-R1,BackboxFloorV14,BackboxRearFrameLeftV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,42120.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-045,BB-FLOOR-001-R1,BB-REAR-FRAME-R-R1,BackboxFloorV14,BackboxRearFrameRightV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,42120.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-046,BB-FLOOR-001-R1,BB-REAR-FRAME-B-R1,BackboxFloorV14,BackboxRearFrameBottomV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,168480.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-047,BB-TOP-001-R1,BB-SIDE-001L-R1,BackboxTopV14,BackboxLeftSideV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,82296.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-048,BB-TOP-001-R1,BB-SIDE-001R-R1,BackboxTopV14,BackboxRightSideV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,82296.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-049,BB-TOP-001-R1,BB-REAR-FRAME-L-R1,BackboxTopV14,BackboxRearFrameLeftV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,42120.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-050,BB-TOP-001-R1,BB-REAR-FRAME-R-R1,BackboxTopV14,BackboxRearFrameRightV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,42120.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-051,BB-TOP-001-R1,BB-REAR-FRAME-T-R1,BackboxTopV14,BackboxRearFrameTopV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,168480.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-052,BB-SIDE-001L-R1,BB-REAR-FRAME-L-R1,BackboxLeftSideV14,BackboxRearFrameLeftV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,234543.600,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-053,BB-SIDE-001R-R1,BB-REAR-FRAME-R-R1,BackboxRightSideV14,BackboxRearFrameRightV14,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,234543.600,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-054,BB-REAR-FRAME-L-R1,BB-REAR-FRAME-B-R1,BackboxRearFrameLeftV14,BackboxRearFrameBottomV14,BUTT_FRAME_CORNER,t=measured main sheet; t_door=measured door sheet,0,YES,DESIGN_LOCATABLE,YES design datum,none,0.000,"Frame strips captured by surrounding perimeter; glue butt plus perimeter captures; corner screw optional, not assumed to carry shear alone"
J-055,BB-REAR-FRAME-L-R1,BB-REAR-FRAME-T-R1,BackboxRearFrameLeftV14,BackboxRearFrameTopV14,BUTT_FRAME_CORNER,t=measured main sheet; t_door=measured door sheet,0,YES,DESIGN_LOCATABLE,YES design datum,none,0.000,"Frame strips captured by surrounding perimeter; glue butt plus perimeter captures; corner screw optional, not assumed to carry shear alone"
J-056,BB-REAR-FRAME-L-R1,BB-DOOR-001-R1,BackboxRearFrameLeftV14,BackboxServiceDoorV14,REMOVABLE_CLOSURE,t=measured main sheet; t_door=measured door sheet,none,NO,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-029,0.000,No glue; hinge/catch CNC patterns require measured closure hardware
J-057,BB-REAR-FRAME-R-R1,BB-REAR-FRAME-B-R1,BackboxRearFrameRightV14,BackboxRearFrameBottomV14,BUTT_FRAME_CORNER,t=measured main sheet; t_door=measured door sheet,0,YES,DESIGN_LOCATABLE,YES design datum,none,0.000,"Frame strips captured by surrounding perimeter; glue butt plus perimeter captures; corner screw optional, not assumed to carry shear alone"
J-058,BB-REAR-FRAME-R-R1,BB-REAR-FRAME-T-R1,BackboxRearFrameRightV14,BackboxRearFrameTopV14,BUTT_FRAME_CORNER,t=measured main sheet; t_door=measured door sheet,0,YES,DESIGN_LOCATABLE,YES design datum,none,0.000,"Frame strips captured by surrounding perimeter; glue butt plus perimeter captures; corner screw optional, not assumed to carry shear alone"
J-059,BB-REAR-FRAME-R-R1,BB-DOOR-001-R1,BackboxRearFrameRightV14,BackboxServiceDoorV14,REMOVABLE_CLOSURE,t=measured main sheet; t_door=measured door sheet,none,NO,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-029,0.000,No glue; hinge/catch CNC patterns require measured closure hardware
J-060,BB-REAR-FRAME-B-R1,BB-DOOR-001-R1,BackboxRearFrameBottomV14,BackboxServiceDoorV14,REMOVABLE_CLOSURE,t=measured main sheet; t_door=measured door sheet,none,NO,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-029,0.000,No glue; hinge/catch CNC patterns require measured closure hardware
J-061,BB-REAR-FRAME-T-R1,BB-DOOR-001-R1,BackboxRearFrameTopV14,BackboxServiceDoorV14,REMOVABLE_CLOSURE,t=measured main sheet; t_door=measured door sheet,none,NO,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-029,0.000,No glue; hinge/catch CNC patterns require measured closure hardware
J-062,WOOD-CRADLESIDERAILLEFT-R1,WOOD-CRADLECROSSMEMBER1-R1,CradleSideRailLeftV18,CradleCrossmember1V18,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,19440.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-063,WOOD-CRADLESIDERAILLEFT-R1,WOOD-CRADLECROSSMEMBER2-R1,CradleSideRailLeftV18,CradleCrossmember2V18,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,19440.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-064,WOOD-CRADLESIDERAILLEFT-R1,WOOD-CRADLECROSSMEMBER3-R1,CradleSideRailLeftV18,CradleCrossmember3V18,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,19440.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-065,WOOD-CRADLESIDERAILLEFT-R1,WOOD-CRADLEPIVOTDOUBLERLEFT-R1,CradleSideRailLeftV18,CradlePivotDoublerLeftV18,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,132300.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-066,WOOD-CRADLESIDERAILRIGHT-R1,WOOD-CRADLECROSSMEMBER1-R1,CradleSideRailRightV18,CradleCrossmember1V18,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,19440.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-067,WOOD-CRADLESIDERAILRIGHT-R1,WOOD-CRADLECROSSMEMBER2-R1,CradleSideRailRightV18,CradleCrossmember2V18,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,19440.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-068,WOOD-CRADLESIDERAILRIGHT-R1,WOOD-CRADLECROSSMEMBER3-R1,CradleSideRailRightV18,CradleCrossmember3V18,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,19440.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-069,WOOD-CRADLESIDERAILRIGHT-R1,WOOD-CRADLEPIVOTDOUBLERRIGHT-R1,CradleSideRailRightV18,CradlePivotDoublerRightV18,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,132300.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-070,WOOD-CRADLECROSSMEMBER3-R1,WOOD-CRADLEPIVOTDOUBLERLEFT-R1,CradleCrossmember3V18,CradlePivotDoublerLeftV18,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,35640.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-071,WOOD-CRADLECROSSMEMBER3-R1,WOOD-CRADLEPIVOTDOUBLERRIGHT-R1,CradleCrossmember3V18,CradlePivotDoublerRightV18,CAPTURE_OR_LAP,t=measured main sheet; t_door=measured door sheet,t/3; exact removed solid in detail model,YES,DESIGN_LOCATABLE,YES design datum,none,35640.000,Dry fit; glue full bearing surfaces; clamp square. Supplemental screw locations must avoid load hardware zones; pilot diameter from selected screw/coupon
J-072,WOOD-CRADLEPIVOTDOUBLERLEFT-R1,WOOD-CRADLEREARBEAM-R1,CradlePivotDoublerLeftV18,CradleRearBeamV18,PIVOT_BEAM_BUTT,t=measured main sheet; t_door=measured door sheet,0,YES,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-009,0.000,Beam joins laminated pivot ends; through-bolt reinforcement design remains coupled to cheek plates; proof test required
J-073,WOOD-CRADLEPIVOTDOUBLERRIGHT-R1,WOOD-CRADLEREARBEAM-R1,CradlePivotDoublerRightV18,CradleRearBeamV18,PIVOT_BEAM_BUTT,t=measured main sheet; t_door=measured door sheet,0,YES,BLOCKED_MEASURE_HARDWARE,BLOCKED measured pattern,HF-009,0.000,Beam joins laminated pivot ends; through-bolt reinforcement design remains coupled to cheek plates; proof test required
J-074,WOOD-CRADLEPIVOTDOUBLERLEFT-R1,WOOD-CRADLEPIVOTDOUBLERLEFT-R1,CradlePivotDoublerLeftV18,CradlePivotDoublerLeftV18,INTERNAL_LAMINATION,2*t from two measured plies,0,YES,HF-009 through-bolts after measured plate stack,BLOCKED measured pattern,HF-009,0,Two plies within one assembly record; full-face glue and clamps; separate ply IDs required at nesting; no 36 mm monolithic stock assumption
