item_id,item,group,controls,minimum_specification,exact_measurements,datum,tool,measurement_tolerance,photos,update_targets,status,measured_values
HF-012,Closed-position pads/latches,BUY NOW,landing/latch holes,Two compact closed-position latches plus resilient pads; positive retention,Latch and catch holes; closed grip range; travel/release envelope; pad footprint and loaded thickness; attachment geometry,A=seat/strike mounting surface; B=closed cradle rail underside; C=front end,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/playfield_mechanics_v18.json:closed_support; measured_patterns.HF-012,UNMEASURED,
HF-013,Rear CPU full-extension slide pair,BUY NOW,fixed rail/shelf mounting holes and exact shelf/support spacing,Matched 450 mm full-extension side-mount pair; minimum 30 kg pair rating in intended vertical mounting; positive stowed retainer separate,Body thickness each side; maker minimum/maximum side clearance; fixed/moving member outlines; hole and slot centers separately; travel; disconnect access; closed stop position; screw-head limits; rating conditions,A=fixed-member mounting face; B=closed rear end; C=lower edge; second sheet for moving member,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/cabinet_rear_cpu_shelf_v24.json:pc_shelf; measured_patterns.HF-013,UNMEASURED,
HF-014,Open PC case,ADAPTER ONLY,case-to-shelf bolt holes,Use already purchased 265 x 440 x 128 mm case; no new PC purchase,Mounting hole centers/diameters; foot heights; standoff stack; connector and GPU restraint access,A=case feet plane; B=installed front-left corner; X=265 direction; Y=440 direction,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/cabinet_rear_cpu_shelf_v24.json:pc_shelf.case_mounting; replaceable shelf only,UNMEASURED,
HF-015,Rear CPU hatch hinge,BUY NOW,rear hatch hinge holes,Rear CPU door hinge allowing outward 105-degree opening at current overlap; same family may serve backbox if proven,Leaf widths/thickness; knuckle diameter; axis-to-leaf offsets; hole centers/diameters; screw heads; folded stack; available opening angle,A=leaf seating face; B=hinge end; C=knuckle axis; measure both leaves separately,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/cabinet_rear_cpu_shelf_v24.json:rear_service_door; measured_patterns.HF-015,UNMEASURED,
HF-016,Rear CPU hatch latch,BUY NOW,hatch latch/catch holes,Tool-controlled or keyed compression/quarter-turn latch and gasket,Body cutout; antirotation flat; fixing holes; cam reach; grip range; catch geometry; key/tool clearance; compressed gasket thickness,A=door outside face; B=latch body center; C=cam closed axis,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/cabinet_rear_cpu_shelf_v24.json:rear_service_door; measured_patterns.HF-016,UNMEASURED,
HF-017,Rear mains inlet/disconnect module,BUY NOW,small fixed mains carrier / independent enclosure interface,Mains interface plus disconnect in enclosed touch-safe assembly fitting selected rear zone; procure mechanical sample with HF-027,Panel cutout; fixing holes; total depth; plug/cord bend space; disconnect travel; strain-relief footprint; mounting stack,A=carrier rear face; B=carrier lower-left; C=entry axis; no exposed terminals in service space,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/rear_utility_v26.json:A; measured_patterns.HF-017,UNMEASURED,
HF-018,Optional Ethernet RJ45 carrier or blank,ADAPTER ONLY,replaceable carrier only,Optional RJ45 or blank in 40 x 40 carrier over generic 24 x 24 wood aperture,Coupler/keystone aperture; clip retention; bend radius,Carrier outside lower-left corner,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/rear_utility_v26.json:A; carrier drawing only,UNMEASURED,
HF-019,Coin door,BUY NOW,front panel opening/bolt pattern,Real pinball-style coin door fitting front and lockdown receiver zone,Required cutout contour/radii; flange coverage; all mounting holes; body/depth; hinge swing; lock/key access; coin mechanism protrusion,A=front mounting face; B=cutout lower-left; C=vertical centerline,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/cabinet_structure_v20.json front interface; measured_patterns.HF-019,UNMEASURED,
HF-020,Flipper/start/launch buttons,BUY NOW,button bore/pilot locations,One sample of each final flipper/start/launch button family; electronics unnecessary,Bore and flats; bezel OD; threaded length; nut/washer OD; switch depth; connector clearance; antirotation/pilot holes,A=panel outside face; B=button axis; C=key orientation,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,measured_patterns.HF-020; main-side/front CNC features,UNMEASURED,
HF-021,Playfield siderail profile,LOCAL FAB,glass capture and side fastener geometry,Siderail/glass channel profile mockup now; final length after fit,Bend radii; sheet thickness; glass capture; fastener flange; screw/head envelope; rail end relation to lockdown,Cabinet side top plane and glass edge,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/cabinet_structure_v20.json:siderails; metal drawing,UNMEASURED,
HF-022,600 mm lockdown bar + receiver,LOCAL FAB,front receiver and glass-retention holes,600 mm custom lockdown and positive receiver prototype now before front hole freeze,Receiver/catch pattern; latch travel; glass engagement; front overlap; fastener access; loaded deflection,Cabinet front top and centerline; actual side/rail/glass mockup,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/cabinet_structure_v20.json:lockdown; metal drawing,UNMEASURED,
HF-023,Playfield tempered glass,BUY LATER,final cut size only,Tempered safety glass after rail/lockdown mockup; no final glass order now,Finished supported opening; engagement and expansion clearances; thickness sample,Assembled supported glass plane,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/cabinet_structure_v20.json:playfield_glass,UNMEASURED,
HF-024,Playfield 42/43 inch display,ADAPTER ONLY,VESA adapter and final manual lift-force check only,Display within 560 x 970 x 55 mm and 12 kg; buy later,VESA; connector access; completed moving mass and manual lifting force at the front grip,Cradle local axes and display mounting plane,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,display adapter; final manual lift check; no model-specific shell holes,UNMEASURED,
HF-025,Backglass monitor,ADAPTER ONLY,adjustable carriage adapter/bezel only,Backglass within 740 x 450 x 100 mm service envelope; buy later,VESA; bezel; connector space; mass,Rail cage mounting plane,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,Backglass carrier only,UNMEASURED,
HF-026,Four identical CPU rail angle clamps + backing + retainer,BUY NOW,rail anchors and retainer holes,Four identical steel angle clamps and underside backing plates plus positive shelf retainer; capacity checked for uplift,Both angle legs/length/thickness; bend radius; all holes; backing thickness/area/pattern; bolt grade/diameter/stack; retainer stroke/holes/access,A=bottom top face; B=rail face; C=clamp front edge; backing measured separately,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/cabinet_rear_cpu_shelf_v24.json:pc_shelf.support_detail; measured_patterns.HF-026,UNMEASURED,
HF-027,Touch-safe mains enclosure,BUY NOW,fixed mounts / insulated entry / enclosure dimensions in selected A rear-face zone,Same purchase assembly as HF-017; fully enclosed touch-safe mains box fitting selected zone,External bounds including mounts; lid screw/service clearance; cable gland projection; mounting hole pattern; protected entry,A=rear panel inside face; B=assembly lower-left; C=lid removal direction,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/rear_utility_v26.json:A; measured_patterns.HF-027,UNMEASURED,
HF-028,Rear bracket to CPU rail planning reserve,BUY NOW,rail/support profile and slide stack,Measurement task bundled with HF-003/004/013/026; no separate purchase,Minimum actual rail-to-bracket gap including flange/bolt/nut/washer; bracket Y/Z extent; slide side clearance; clamp/backing bounds at both rear corners,Cabinet global X/Y/Z from measured-stock corner fixture; retain signed left/right coordinates,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/cnc_detail_v25.json:leg_envelope; pc_shelf support X coordinates,UNMEASURED,
HF-029,Backbox service door hinge/lock/gasket,BUY NOW,rear frame and door hardware interfaces,Backbox service-door hinge/lock/gasket sample; share family with CPU door if fit proven,Hinge leaves/axis/holes; lock body/catch/cutout; gasket compressed thickness; door clearance and opening sweep,A=backbox rear frame outer face; B=opening lower-left; C=door hinge edge,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/structure_geometry_v14.json:backbox.service_door; measured_patterns.HF-029,UNMEASURED,
HF-030,Mechanical/electronic plunger assembly,BUY NOW,front mounting bore/pattern and internal nut/body/cable envelope,Selected mechanical/electronic plunger mechanism fits X500..540 Y18..220 Z195..235 body reserve,Front cutout contour; hole centers; sleeve/shaft diameter; flange and nut stack; stroke; handle projection; internal body/sensor depth; cable/connector sweep,A=front panel outside plane; B=plunger shaft axis; C=anti-rotation orientation; installed +Y inward,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/owner_services_v27.json:controls; measured_patterns.HF-030,UNMEASURED,
HF-031,Four exciters and local attachment adapters,ADAPTER ONLY,replaceable attachment plates only; cabinet panel stays solid,Four panel-coupled SSF exciters; no speaker openings,Attachment footprint; adapter screw or adhesive specification; projection; cable bend and service clearance,Solid sidewall inside face; local adapter zero,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/owner_services_v27.json:ssf; local replaceable exciter adapters,UNMEASURED,
HF-032,Dust-filter media and optional intake/exhaust fans,ADAPTER ONLY,replaceable filter/fan plates only,Serviceable mesh/filter and later fan adapters; no fan-specific wood pattern,Filter compression and service clearance; fan thickness; grille/finger guard; fan pattern on adapter only,Generic cassette/adapter mounting face and project-designed mounting grid,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/owner_services_v27.json:bottom_intake/exhaust; replaceable adapter drawings,UNMEASURED,
HF-033,Backbox conventional speaker modules,ADAPTER ONLY,replaceable baffles and rail-cage brackets only,Backbox conventional speakers within replaceable 120 x 120 x 75 module reserve,Driver cutout; screw pattern; rear magnet/connector depth; baffle thickness; rail-cage adapter attachment,Removable speaker module front face; centerline,0.01 mm digital caliper; square; steel rule; pin gauges for bores; depth rod; actual fasteners,"Record hole centers/stack to ±0.10 mm; outline to ±0.5 mm; repeat both parts. This is measurement uncertainty, NOT machining tolerance.",Orthogonal front/rear/side with ruler in plane; detail of every hole and stack; assembled context; part label and maker specification,config/owner_services_v27.json:backbox.speaker_boxes_mm; replaceable baffle only,UNMEASURED,
