part_id,object_name,current_function,load_path,decision,reason,material,nominal_thickness_mm,quantity,orientation,nominal_local_envelope_xyz_mm,finished_dimensions,pockets_dados_through_cuts,pilot_holes,insert_tnut_positions,engraving_alignment,assembly_reference,release_status
BB-TOP-001-R1,BackboxTopV14,Backbox perimeter load path,Display rail cage/box shear -> perimeter/floor -> rear shelf and independent upright locks,KEEP,Backbox perimeter load path,marine plywood,18,1,XY; inside face,780.000 x 254.000 x 18.000,BLOCKED: stock/joints/hardware unresolved,joint topology pending; measured hinges/locks/passports,BLOCKED: measured hardware,BLOCKED: measured hardware,BB-TOP-001-R1; XY; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
BB-SIDE-001L-R1,BackboxLeftSideV14,Backbox perimeter load path,Display rail cage/box shear -> perimeter/floor -> rear shelf and independent upright locks,KEEP,Backbox perimeter load path,marine plywood,18,1,YZ; inside face,18.000 x 254.000 x 723.900,BLOCKED: stock/joints/hardware unresolved,matched captured joints pending,BLOCKED: measured hardware,BLOCKED: measured hardware,BB-SIDE-001L-R1; YZ; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
BB-SIDE-001R-R1,BackboxRightSideV14,Backbox perimeter load path,Display rail cage/box shear -> perimeter/floor -> rear shelf and independent upright locks,KEEP,Backbox perimeter load path,marine plywood,18,1,YZ; inside face,18.000 x 254.000 x 723.900,BLOCKED: stock/joints/hardware unresolved,matched captured joints pending,BLOCKED: measured hardware,BLOCKED: measured hardware,BB-SIDE-001R-R1; YZ; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
BB-REAR-FRAME-L-R1,BackboxRearFrameLeftV14,Candidate single rear frame after nesting and shear/joint verification; retain present frame until proven,Display rail cage/box shear -> perimeter/floor -> rear shelf and independent upright locks,COMBINE,Candidate single rear frame after nesting and shear/joint verification; retain present frame until proven,marine plywood,18,1,XZ; inside face,130.000 x 18.000 x 723.900,BLOCKED: stock/joints/hardware unresolved,joint resolution; guarded fan windows; hinge/latch holes BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,BB-REAR-FRAME-L-R1; XZ; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
BB-REAR-FRAME-R-R1,BackboxRearFrameRightV14,Candidate single rear frame after nesting and shear/joint verification; retain present frame until proven,Display rail cage/box shear -> perimeter/floor -> rear shelf and independent upright locks,COMBINE,Candidate single rear frame after nesting and shear/joint verification; retain present frame until proven,marine plywood,18,1,XZ; inside face,130.000 x 18.000 x 723.900,BLOCKED: stock/joints/hardware unresolved,joint resolution; guarded fan windows; hinge/latch holes BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,BB-REAR-FRAME-R-R1; XZ; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
BB-REAR-FRAME-B-R1,BackboxRearFrameBottomV14,Candidate single rear frame after nesting and shear/joint verification; retain present frame until proven,Display rail cage/box shear -> perimeter/floor -> rear shelf and independent upright locks,COMBINE,Candidate single rear frame after nesting and shear/joint verification; retain present frame until proven,marine plywood,18,1,XZ; inside face,520.000 x 18.000 x 53.100,BLOCKED: stock/joints/hardware unresolved,joint resolution; guarded fan windows; hinge/latch holes BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,BB-REAR-FRAME-B-R1; XZ; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
BB-REAR-FRAME-T-R1,BackboxRearFrameTopV14,Candidate single rear frame after nesting and shear/joint verification; retain present frame until proven,Display rail cage/box shear -> perimeter/floor -> rear shelf and independent upright locks,COMBINE,Candidate single rear frame after nesting and shear/joint verification; retain present frame until proven,marine plywood,18,1,XZ; inside face,520.000 x 18.000 x 210.800,BLOCKED: stock/joints/hardware unresolved,joint resolution; guarded fan windows; hinge/latch holes BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,BB-REAR-FRAME-T-R1; XZ; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
BB-DOOR-001-R1,BackboxServiceDoorV14,Keyed gasketed rear service access,Door self-weight -> measured hinge/frame; not primary backbox bracing,KEEP,Keyed gasketed rear service access,marine plywood,15,1,XZ; inside face; up arrow,520.000 x 15.000 x 460.000,BLOCKED: stock/joints/hardware unresolved,measured hinge/latch/gasket interface BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,BB-DOOR-001-R1; XZ; inside face; up arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
WOOD-CRADLESIDERAILLEFT-R1,CradleSideRailLeftV18,Independent display load path,Display adapter -> cradle rails/ties -> local pivot laminations and closed supports -> shell,KEEP,Independent display load path,marine plywood,18,1,playfield local YZ; front arrow,18.000 x 950.000 x 70.000,BLOCKED: stock/joints/hardware unresolved,rail/tie joinery; measured mounting patterns BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,WOOD-CRADLESIDERAILLEFT-R1; playfield local YZ; front arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
WOOD-CRADLESIDERAILRIGHT-R1,CradleSideRailRightV18,Independent display load path,Display adapter -> cradle rails/ties -> local pivot laminations and closed supports -> shell,KEEP,Independent display load path,marine plywood,18,1,playfield local YZ; front arrow,18.000 x 950.000 x 70.000,BLOCKED: stock/joints/hardware unresolved,rail/tie joinery; measured mounting patterns BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,WOOD-CRADLESIDERAILRIGHT-R1; playfield local YZ; front arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
WOOD-CRADLECROSSMEMBER1-R1,CradleCrossmember1V18,Three narrow ties; retain stiffness without broad shelf,Display adapter -> cradle rails/ties -> local pivot laminations and closed supports -> shell,KEEP,Three narrow ties; retain stiffness without broad shelf,marine plywood,18,1,playfield local XY; front arrow,520.000 x 60.000 x 18.000,BLOCKED: stock/joints/hardware unresolved,rail joints; replaceable adapter mount holes BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,WOOD-CRADLECROSSMEMBER1-R1; playfield local XY; front arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
WOOD-CRADLECROSSMEMBER2-R1,CradleCrossmember2V18,Three narrow ties; retain stiffness without broad shelf,Display adapter -> cradle rails/ties -> local pivot laminations and closed supports -> shell,KEEP,Three narrow ties; retain stiffness without broad shelf,marine plywood,18,1,playfield local XY; front arrow,520.000 x 60.000 x 18.000,BLOCKED: stock/joints/hardware unresolved,rail joints; replaceable adapter mount holes BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,WOOD-CRADLECROSSMEMBER2-R1; playfield local XY; front arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
WOOD-CRADLECROSSMEMBER3-R1,CradleCrossmember3V18,Three narrow ties; retain stiffness without broad shelf,Display adapter -> cradle rails/ties -> local pivot laminations and closed supports -> shell,KEEP,Three narrow ties; retain stiffness without broad shelf,marine plywood,18,1,playfield local XY; front arrow,520.000 x 60.000 x 18.000,BLOCKED: stock/joints/hardware unresolved,rail joints; replaceable adapter mount holes BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,WOOD-CRADLECROSSMEMBER3-R1; playfield local XY; front arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
WOOD-CRADLEPIVOTDOUBLERLEFT-R1,CradlePivotDoublerLeftV18,Local 36 mm pivot load structure,Display adapter -> cradle rails/ties -> local pivot laminations and closed supports -> shell,KEEP,Local 36 mm pivot load structure,marine plywood,36,1,playfield local axes; rear arrow,36.000 x 160.000 x 80.000,BLOCKED: stock/joints/hardware unresolved,split into two measured-stock laminations at release; metal interface holes BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,WOOD-CRADLEPIVOTDOUBLERLEFT-R1; playfield local axes; rear arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
WOOD-CRADLEPIVOTDOUBLERRIGHT-R1,CradlePivotDoublerRightV18,Local 36 mm pivot load structure,Display adapter -> cradle rails/ties -> local pivot laminations and closed supports -> shell,KEEP,Local 36 mm pivot load structure,marine plywood,36,1,playfield local axes; rear arrow,36.000 x 160.000 x 80.000,BLOCKED: stock/joints/hardware unresolved,split into two measured-stock laminations at release; metal interface holes BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,WOOD-CRADLEPIVOTDOUBLERRIGHT-R1; playfield local axes; rear arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
WOOD-CRADLEREARBEAM-R1,CradleRearBeamV18,Local 36 mm pivot load structure,Display adapter -> cradle rails/ties -> local pivot laminations and closed supports -> shell,KEEP,Local 36 mm pivot load structure,marine plywood,36,1,playfield local axes; rear arrow,448.000 x 36.000 x 70.000,BLOCKED: stock/joints/hardware unresolved,split into two measured-stock laminations at release; metal interface holes BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,WOOD-CRADLEREARBEAM-R1; playfield local axes; rear arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
PF-LANDING-LATCH-LEFT-R2,ClosedSupportDoublerLeftV19,Implemented one union per side retaining both original reinforcement zones,Closed cradle landing/positive latch -> steel seat/strike -> combined doubler -> cabinet side,COMBINE,Implemented one union per side retaining both original reinforcement zones,marine plywood,18,1,YZ; inside face,18.000 x 120.000 x 112.101,BLOCKED: stock/joints/hardware unresolved,combined union profile; matched hardware patterns pending,BLOCKED: measured hardware,BLOCKED: measured hardware,PF-LANDING-LATCH-LEFT-R2; YZ; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
PF-LANDING-LATCH-RIGHT-R2,ClosedSupportDoublerRightV19,Implemented one union per side retaining both original reinforcement zones,Closed cradle landing/positive latch -> steel seat/strike -> combined doubler -> cabinet side,COMBINE,Implemented one union per side retaining both original reinforcement zones,marine plywood,18,1,YZ; inside face,18.000 x 120.000 x 112.101,BLOCKED: stock/joints/hardware unresolved,combined union profile; matched hardware patterns pending,BLOCKED: measured hardware,BLOCKED: measured hardware,PF-LANDING-LATCH-RIGHT-R2; YZ; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
PF-SAFETY-STAY-ANCHOR-DBLR-L-R1,SafetyStayDoublerLeftV19,Local safety/assist reaction load path; do not remove,Raised cradle -> independent positive stay -> captive plate/doubler -> cabinet side,KEEP,Local safety/assist reaction load path; do not remove,marine plywood,18,1,YZ; inside face,18.000 x 120.000 x 100.000,BLOCKED: stock/joints/hardware unresolved,measured through-bolts and captive nut plates BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,PF-SAFETY-STAY-ANCHOR-DBLR-L-R1; YZ; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
PF-SAFETY-STAY-ANCHOR-DBLR-R-R1,SafetyStayDoublerRightV19,Local safety/assist reaction load path; do not remove,Raised cradle -> independent positive stay -> captive plate/doubler -> cabinet side,KEEP,Local safety/assist reaction load path; do not remove,marine plywood,18,1,YZ; inside face,18.000 x 120.000 x 100.000,BLOCKED: stock/joints/hardware unresolved,measured through-bolts and captive nut plates BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,PF-SAFETY-STAY-ANCHOR-DBLR-R-R1; YZ; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
PF-GAS-ANCHOR-DBLR-L-R1,GasStrutDoublerLeftV19,Local safety/assist reaction load path; do not remove,Lift-assist reaction -> captive plate/doubler -> side; not a safety restraint,KEEP,Local safety/assist reaction load path; do not remove,marine plywood,18,1,YZ; inside face,18.000 x 120.000 x 90.000,BLOCKED: stock/joints/hardware unresolved,measured through-bolts and captive nut plates BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,PF-GAS-ANCHOR-DBLR-L-R1; YZ; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
PF-GAS-ANCHOR-DBLR-R-R1,GasStrutDoublerRightV19,Local safety/assist reaction load path; do not remove,Lift-assist reaction -> captive plate/doubler -> side; not a safety restraint,KEEP,Local safety/assist reaction load path; do not remove,marine plywood,18,1,YZ; inside face,18.000 x 120.000 x 90.000,BLOCKED: stock/joints/hardware unresolved,measured through-bolts and captive nut plates BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,PF-GAS-ANCHOR-DBLR-R-R1; YZ; inside face,docs/ACTIVE_ENGINEERING.md,BLOCKED
CAB-PC-REAR-DOOR-002-R1,RearCPUServiceDoorClosedV24,One outward service door,Door self-weight/latch -> measured hinge/rear panel; carries no mains hardware,KEEP,One outward service door,marine plywood,15,1,XZ; rear view left hinge; up arrow,364.000 x 15.000 x 264.000,BLOCKED: stock/joints/hardware unresolved,measured hinge/latch patterns BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,CAB-PC-REAR-DOOR-002-R1; XZ; rear view left hinge; up arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
PC-REAR-SHELF-002-R1,RearCPUShelfStowedV24,One replaceable case board; no second sled,PC bolts -> replaceable board -> two slides -> fixed rails -> bottom/shell,KEEP,One replaceable case board; no second sled,marine plywood,18,1,XY; case up; rear arrow,285.000 x 460.000 x 18.000,BLOCKED: stock/joints/hardware unresolved,measured case/slide/retainer holes BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,PC-REAR-SHELF-002-R1; XY; case up; rear arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
PC-SUPPORT-LEFT-R2,RearCPUSupportRailLeftV24,18 mm bottom-seated rails; four identical local angle clamps with underside bolt backing,Fixed slide -> rail web -> bottom bearing + bolted angle clamps -> backed bottom -> shell,KEEP,18 mm bottom-seated rails; four identical local angle clamps with underside bolt backing,marine plywood,18,1,YZ; rear arrow,18.000 x 465.000 x 135.500,BLOCKED: stock/joints/hardware unresolved,measured slide and cabinet anchor patterns BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,PC-SUPPORT-LEFT-R2; YZ; rear arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
PC-SUPPORT-RIGHT-R2,RearCPUSupportRailRightV24,18 mm bottom-seated rails; four identical local angle clamps with underside bolt backing,Fixed slide -> rail web -> bottom bearing + bolted angle clamps -> backed bottom -> shell,KEEP,18 mm bottom-seated rails; four identical local angle clamps with underside bolt backing,marine plywood,18,1,YZ; rear arrow,18.000 x 465.000 x 135.500,BLOCKED: stock/joints/hardware unresolved,measured slide and cabinet anchor patterns BLOCKED,BLOCKED: measured hardware,BLOCKED: measured hardware,PC-SUPPORT-RIGHT-R2; YZ; rear arrow,docs/ACTIVE_ENGINEERING.md,BLOCKED
